Input,Output,Time
0.478,150,1.337
0.478,150,1.338
0.478,150,1.339
0.478,150,1.34
0.478,150,1.341
0.478,150,1.342
0.478,150,1.343
0.478,150,1.344
0.478,150,1.345
0.478,150,1.346
0.478,150,1.347
0.478,150,1.348
0.478,150,1.349
0.478,150,1.35
0.478,150,1.351
0.478,150,1.352
0.478,150,1.353
0.478,150,1.354
0.478,150,1.355
0.478,150,1.356
0.478,150,1.357
0.478,150,1.358
0.478,150,1.359
0.478,150,1.36
0.478,150,1.361
0.478,150,1.362
0.478,150,1.363
0.478,150,1.364
0.478,150,1.365
0.478,150,1.366
0.478,150,1.367
0.478,150,1.368
0.478,150,1.369
0.478,150,1.37
0.478,150,1.371
0.478,150,1.372
0.478,150,1.373
0.478,150,1.374
0.478,150,1.375
0.478,150,1.376
0.478,150,1.377
0.478,150,1.378
0.478,150,1.379
0.478,150,1.38
0.478,150,1.381
0.478,150,1.382
0.478,150,1.383
0.478,150,1.384
0.478,150,1.385
0.478,150,1.386
0.478,150,1.387
0.478,150,1.388
0.478,150,1.389
0.478,150,1.39
0.478,150,1.391
0.478,150,1.392
0.478,150,1.393
0.478,150,1.394
