Input,Output,Time
0.4302,152.991306238913,6.82
0.4302,152.997064737944,6.83
0.4302,153.002797445625,6.84
0.4302,153.008504646617,6.85
0.4302,153.014186277841,6.86
0.4302,153.019842621694,6.87
0.4302,153.025473615862,6.88
0.4302,153.031079540479,6.89
0.4302,153.036660333978,6.9
0.4302,153.042216274243,6.91
0.4302,153.047747300435,6.92
0.4302,153.053253688194,6.93
0.4302,153.058735377395,6.94
0.4302,153.064192641443,6.95
0.4302,153.069625420911,6.96
0.4302,153.075033986977,6.97
0.4302,153.080418280899,6.98
0.4302,153.085778571638,6.99
0.4302,153.091114801123,7
0.4302,153.096427236105,7.01
0.4302,153.101715819171,7.02
0.4302,153.106980814875,7.03
0.4302,153.112222166449,7.04
0.4302,153.117440136257,7.05
0.4302,153.122634668165,7.06
0.4302,153.12780602236,7.07
0.4302,153.132954143329,7.08
0.4302,153.138079289092,7.09
0.4302,153.143181404746,7.1
0.4302,153.148260746154,7.11
0.4302,153.153317259013,7.12
0.4302,153.158351197044,7.13
0.4302,153.16336250653,7.14
0.4302,153.16835143906,7.15
0.4302,153.173317941497,7.16
0.4302,153.178262263308,7.17
0.4302,153.183184351924,7.18
0.4302,153.188084454706,7.19
0.4302,153.192962519642,7.2
0.4302,153.197818791998,7.21
0.4302,153.202653220313,7.22
0.4302,153.207466047768,7.23
0.4302,153.212257223444,7.24
0.4302,153.217026988453,7.25
0.4302,153.221775292406,7.26
0.4302,153.226502374358,7.27
0.4302,153.231208184445,7.28
0.4302,153.235892959679,7.29
0.4302,153.240556650709,7.3
0.4302,153.245199492519,7.31
0.4302,153.249821436263,7.32
0.4302,153.254422714909,7.33
0.4302,153.259003280113,7.34
0.4302,153.263563362838,7.35
0.4302,153.26810291523,7.36
0.4302,153.272622166267,7.37
0.4302,153.277121068577,7.38
0.4302,153.281599849162,7.39
0.4302,153.28605846113,7.4
0.4302,153.290497129519,7.41
0.4302,153.294915807909,7.42
0.4302,153.29931471939,7.43
0.4302,153.303693818006,7.44
0.4302,153.308053324914,7.45
0.4302,153.312393194614,7.46
0.4302,153.316713646344,7.47
0.4302,153.321014635056,7.48
0.4302,153.325296378083,7.49
0.4302,153.329558830819,7.5
0.4302,153.333802208707,7.51
0.4302,153.338026467581,7.52
0.4302,153.342231821006,7.53
0.4302,153.346418225249,7.54
0.4302,153.35058589201,7.55
0.4302,153.354734777986,7.56
0.4302,153.358865093028,7.57
0.4302,153.362976794252,7.58
0.4302,153.367070089676,7.59
0.4302,153.371144936833,7.6
0.4302,153.375201541919,7.61
0.4302,153.379239862877,7.62
0.4302,153.383260104098,7.63
0.4302,153.387262223931,7.64
0.4302,153.391246424973,7.65
0.4302,153.395212665975,7.66
0.4302,153.399161147754,7.67
0.4302,153.403091829458,7.68
0.4302,153.407004910139,7.69
0.4302,153.410900349337,7.7
0.4302,153.414778344352,7.71
0.4302,153.418638855111,7.72
0.4302,153.422482077177,7.73
0.4302,153.426307970859,7.74
0.4302,153.430116729998,7.75
0.4302,153.433908315278,7.76
0.4302,153.437682918833,7.77
0.4302,153.44144050172,7.78
0.4302,153.445181254378,7.79
0.4302,153.448905138231,7.8
0.4302,153.452612342037,7.81
0.4302,153.456302827586,7.82
0.4302,153.459976781966,7.83
0.4302,153.463634167329,7.84
0.4302,153.467275169108,7.85
0.4302,153.470899749811,7.86
0.4302,153.474508093233,7.87
0.4302,153.478100162231,7.88
0.4302,153.481676138973,7.89
0.4302,153.485235986667,7.9
0.4302,153.488779885866,7.91
0.4302,153.492307800122,7.92
0.4302,153.495819908388,7.93
0.4302,153.499316174557,7.94
0.4302,153.502796775997,7.95
0.4302,153.506261676935,7.96
0.4302,153.509711053167,7.97
0.4302,153.513144869253,7.98
0.4302,153.516563299429,7.99
0.4302,153.519966308584,8
0.4302,153.523354069408,8.01
0.4302,153.526726547116,8.02
0.4302,153.530083912862,8.03
0.4302,153.533426132186,8.04
0.4302,153.536753374721,8.05
0.4302,153.540065606325,8.06
0.4302,153.543362995123,8.07
0.4302,153.546645507289,8.08
0.4302,153.549913309453,8.09
0.4302,153.553166368102,8.1
0.4302,153.556404848383,8.11
0.4302,153.559628717091,8.12
0.4302,153.562838137905,8.13
0.4302,153.566033077926,8.14
0.4302,153.569213699375,8.15
0.4302,153.572379969656,8.16
0.4302,153.575532049544,8.17
0.4302,153.578669906746,8.18
0.4302,153.581793700603,8.19
0.4302,153.584903399117,8.2
0.4302,153.587999160211,8.21
0.4302,153.591080952182,8.22
0.4302,153.594148931542,8.23
0.4302,153.59720306688,8.24
0.4302,153.600243513315,8.25
0.4302,153.60327023972,8.26
0.4302,153.606283399832,8.27
0.4302,153.60928296281,8.28
0.4302,153.612269081017,8.29
0.4302,153.615241723897,8.3
0.4302,153.618201042452,8.31
0.4302,153.621147006405,8.32
0.4302,153.624079765411,8.33
0.4302,153.626999289468,8.34
0.4302,153.629905726897,8.35
0.4302,153.632799047969,8.36
0.4302,153.63567939968,8.37
0.4302,153.638546752573,8.38
0.4302,153.641401252331,8.39
0.4302,153.644242869764,8.4
0.4302,153.647071749255,8.41
0.4302,153.649887861881,8.42
0.4302,153.652691350733,8.43
0.4302,153.655482187151,8.44
0.4302,153.658260512948,8.45
0.4302,153.661026299725,8.46
0.4302,153.663779688028,8.47
0.4302,153.666520649716,8.48
0.4302,153.669249324077,8.49
0.4302,153.671965683227,8.5
0.4302,153.674669865208,8.51
0.4302,153.67736184239,8.52
0.4302,153.68004175158,8.53
0.4302,153.6827095654,8.54
0.4302,153.685365419432,8.55
0.4302,153.688009286545,8.56
0.4302,153.690641301112,8.57
0.4302,153.693261436246,8.58
0.4302,153.695869825117,8.59
0.4302,153.698466441083,8.6
0.4302,153.701051416122,8.61
0.4302,153.703624723834,8.62
0.4302,153.706186495014,8.63
0.4302,153.708736703504,8.64
0.4302,153.711275478927,8.65
0.4302,153.713802795361,8.66
0.4302,153.71631878127,8.67
0.4302,153.718823410966,8.68
0.4302,153.721316811763,8.69
0.4302,153.723798958205,8.7
0.4302,153.726269976468,8.71
0.4302,153.728729841325,8.72
0.4302,153.73117867782,8.73
0.4302,153.733616460958,8.74
0.4302,153.736043314661,8.75
0.4302,153.73845921416,8.76
0.4302,153.740864282268,8.77
0.4302,153.74325849444,8.78
0.4302,153.745641972388,8.79
0.4302,153.748014691789,8.8
0.4302,153.750376773265,8.81
0.4302,153.752728192711,8.82
0.4302,153.755069069672,8.83
0.4302,153.757399380259,8.84
0.4302,153.759719242944,8.85
0.4302,153.762028634056,8.86
0.4302,153.764327671004,8.87
0.4302,153.766616330332,8.88
0.4302,153.768894728397,8.89
0.4302,153.771162841953,8.9
0.4302,153.773420786316,8.91
0.4302,153.775668538449,8.92
0.4302,153.777906212634,8.93
0.4302,153.780133786042,8.94
0.4302,153.782351371931,8.95
0.4302,153.784558947679,8.96
0.4302,153.786756625528,8.97
0.4302,153.788944383059,8.98
0.4302,153.791122331507,8.99
0.4302,153.793290448658,9
0.4302,153.79544884475,9.01
0.4302,153.797597497767,9.02
0.4302,153.799736516958,9.03
0.4302,153.801865880507,9.04
0.4302,153.803985696685,9.05
0.4302,153.806095943871,9.06
0.4302,153.808196729364,9.07
0.4302,153.810288031739,9.08
0.4302,153.812369957333,9.09
0.4302,153.814442484914,9.1
0.4302,153.816505719866,9.11
0.4302,153.818559641147,9.12
0.4302,153.820604353197,9.13
0.4302,153.822639835163,9.14
0.4302,153.824666190548,9.15
0.4302,153.826683398688,9.16
0.4302,153.828691562157,9.17
0.4302,153.830690660476,9.18
0.4302,153.8326807953,9.19
0.4302,153.834661946336,9.2
0.4302,153.836634214325,9.21
0.4302,153.838597579156,9.22
0.4302,153.840552140669,9.23
0.4302,153.842497878934,9.24
0.4302,153.844434892893,9.25
0.4302,153.846363162796,9.26
0.4302,153.848282786698,9.27
0.4302,153.850193745028,9.28
0.4302,153.85209613496,9.29
0.4302,153.853989937099,9.3
0.4302,153.855875247748,9.31
0.4302,153.857752047685,9.32
0.4302,153.85962043235,9.33
0.4302,153.861480382696,9.34
0.4302,153.863331993304,9.35
0.4302,153.865175245298,9.36
0.4302,153.867010232412,9.37
0.4302,153.86883693594,9.38
0.4302,153.870655448775,9.39
0.4302,153.872465752378,9.4
0.4302,153.87426793881,9.41
0.4302,153.876061989697,9.42
0.4302,153.877847996274,9.43
0.4302,153.879625940335,9.44
0.4302,153.881395912295,9.45
0.4302,153.88315789411,9.46
0.4302,153.884911975385,9.47
0.4302,153.886658138238,9.48
